NTAName,Pop_1E,MaleE,FemE,Hsp1E,NHspE,WtNHE,BlNHE,AIANNHE,AsnNHE,NHPINHE,OthNHE,Rc2plNHE,BoroCode,Shape_Leng,Shape_Area
Pomonok-Electchester-Hillcrest,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,28608.0404677,36974156.5814
Port Richmond,21443.217391304348,10467.608695652174,10975.608695652174,3954.6521739130435,17488.565217391304,12788.608695652174,1949.9565217391305,29.217391304347824,2221.782608695652,0.0,45.73913043478261,453.2608695652174,5.0,39708.1579609,36236920.7251
Prospect Heights,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,15044.3605783,10313415.1254
Prospect Lefferts Gardens-Wingate,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,26320.6283939,24039163.2131
Prospect Park,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,24199.0687367,27324219.1375
Queens Village,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,37292.3976734,69655494.8296
Queensboro Hill,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,30839.7008945,26427737.971900005
Queensbridge-Ravenswood-Dutch Kills,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,27093.785536499996,27721577.755
Randall's Island,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526315,32578.42105263158,20508.105263157893,5279.289473684211,41.973684210526315,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,24946.2385525,23466537.4851
Rego Park,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,26496.2223166,20193352.2012
Richmond Hill,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,26207.751076,30269745.842699997
