Pop1E,MaleE,FemE,Hsp1E,NHspE,WtNHE,BlNHE,AIANNHE,AsnNHE,NHPINHE,OthNHE,Rc2plNHE,BoroCode,Shape_Leng,Shape_Area
35940.13157894737,16836.236842105263,19103.894736842107,18900.105263157893,17040.026315789473,4118.131578947368,10984.315789473685,74.8157894736842,1247.3947368421052,2.710526315789474,294.3157894736842,318.3421052631579,2.0,17837.9373331,15753915.8367
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,48184.4022993,26132395.9809
24392.105263157893,11824.894736842105,12567.21052631579,3979.0526315789475,20413.052631578947,15949.21052631579,2309.2631578947367,26.63157894736842,1835.2631578947369,0.0,60.421052631578945,232.26315789473685,5.0,67592.5953327,180428305.238
24392.105263157893,11824.894736842105,12567.21052631579,3979.0526315789475,20413.052631578947,15949.21052631579,2309.2631578947367,26.63157894736842,1835.2631578947369,0.0,60.421052631578945,232.26315789473685,5.0,38159.8608236,67773961.1418
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,21571.990905499995,21084822.0502
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,24359.8870693,26043273.2608
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,45685.6404607,58301781.0942
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,8570.89492236,2674946.1493
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,39268.139458000005,55464872.18
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,32461.2906166,47948908.1029
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,44394.2974379,54666302.9522
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,22422.3706826,20556460.4891
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,41302.5197245,61637531.6528
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,31201.8679627,39315519.5955
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,41945.5008443,70410060.9271
35940.13157894737,16836.236842105263,19103.894736842107,18900.105263157893,17040.026315789473,4118.131578947368,10984.315789473685,74.8157894736842,1247.3947368421052,2.710526315789474,294.3157894736842,318.3421052631579,2.0,20826.4325425,24552528.8724
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,29753.971349,41289700.7379
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,26307.6460518,36906698.8302
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,32397.6635193,55322223.0696
35940.13157894737,16836.236842105263,19103.894736842107,18900.105263157893,17040.026315789473,4118.131578947368,10984.315789473685,74.8157894736842,1247.3947368421052,2.710526315789474,294.3157894736842,318.3421052631579,2.0,19746.6529273,16393957.460199999
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,33669.6206896,48634931.3054
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,28481.078822400003,40481286.1694
37916.706896551725,18330.862068965518,19585.844827586207,10226.551724137931,27690.155172413793,10842.775862068966,6816.172413793103,108.44827586206897,8698.0,12.620689655172415,672.3103448275862,539.8275862068965,4.0,104337.146058,69230686.6319
48368.27450980392,22772.70588235294,25595.56862745098,9552.882352941177,38815.39215686275,17232.49019607843,15848.333333333334,74.6470588235294,4902.098039215686,12.470588235294118,218.2941176470588,527.0588235294117,3.0,16805.8963446,13564293.5158
